Product_ID,InRange
P00000142,34
P00000242,0
P00000342,7
P00000442,1
P00000542,4
P00000642,6
P00000742,10
P00000842,0
P00000942,2
P00001042,7
P00001142,39
P00001242,1
P00001342,4
P00001442,2
P00001542,4
P00001642,28
P00001742,18
P00001842,0
P00001942,8
P00002042,5
P00002142,7
P00002242,3
P00002342,2
P00002442,20
P00002542,38
P00002642,5
P00002742,1
P00002842,1
P00002942,0
P00003042,2
P00003142,5
P00003242,52
P00003342,0
P00003442,0
P00003542,0
P00003642,35
P00003742,0
P00003842,0
P00003942,33
P00004042,0
P00004142,13
P00004242,5
P00004342,5
P00004442,1
P00004542,11
P00004642,2
P00004742,5
P00004842,9
P00004942,0
P00005042,3
P00005142,16
P00005342,0
P00005442,2
P00005542,0
P00005642,1
P00005742,11
P00005842,0
P00005942,0
P00006042,2
P00006142,19
P00006242,2
P00006342,0
P00006442,0
P00006542,4
P00006742,2
P00006842,12
P00006942,12
P00007042,1
P00007142,2
P00007242,10
P00007342,1
P00007442,0
P00007542,1
P00007642,1
P00007742,2
P00007842,0
P00007942,2
P00008042,2
P00008142,2
P00008242,0
P00008342,1
P00008442,6
P00008542,0
P00008642,0
P00008742,2
P00008842,3
P00009042,0
P00009142,2
P00009242,12
P00009342,12
P00009542,1
P00009642,0
P00009742,0
P00010042,0
P00010142,1
P00010242,27
P00010342,9
P00010442,0
P00010542,0
P00010642,1
P00010742,10
P00010842,34
P00010942,8
P00011042,1
P00011142,1
P00011242,0
P00011342,1
P00011442,3
P00011542,0
P00011742,1
P00011842,3
P00011942,8
P00012042,1
P00012142,9
P00012242,0
P00012442,0
P00012542,0
P00012842,0
P00013142,4
P00013242,0
P00013342,0
P00013642,3
P00013742,24
P00013942,7
P00014042,8
P00014142,0
P00014242,6
P00014342,0
P00014442,0
P00014542,44
P00014642,20
P00014742,0
P00014842,19
P00014942,5
P00015042,2
P00015142,0
P00015242,6
P00015342,0
P00015442,6
P00015542,20
P00015642,38
P00015742,1
P00015842,6
P00015942,1
P00016042,7
P00016142,2
P00016342,7
P00016442,0
P00016542,2
P00016642,4
P00016742,13
P00016842,11
P00016942,0
P00017042,7
P00017142,9
P00017242,0
P00017442,0
P00017542,17
P00017642,0
P00017742,1
P00017842,0
P00017942,2
P00018042,15
P00018142,3
P00018242,5
P00018342,0
P00018442,0
P00018542,0
P00018642,0
P00018842,0
P00018942,11
P00019042,2
P00019142,0
P00019242,0
P00019342,2
P00019442,1
P00019542,0
P00019642,1
P00019842,6
P00019942,5
P00020042,1
P00020142,2
P00020242,3
P00020342,9
P00020442,1
P00020542,0
P00020642,5
P00020742,0
P00020842,9
P00021042,3
P00021142,5
P00021242,1
P00021342,4
P00021442,2
P00021542,0
P00021642,13
P00021742,71
P00021842,10
P00021942,4
P00022142,3
P00022242,0
P00022342,5
P00022442,16
P00022542,28
P00022642,10
P00022742,13
P00022842,1
P00022942,36
P00023042,7
P00023142,5
P00023242,0
P00023342,4
P00023442,0
P00023642,4
P00023742,0
P00023842,1
P00023942,0
P00024042,3
P00024142,23
P00024242,3
P00024342,5
P00024442,0
P00024542,1
P00024642,3
P00024742,18
P00024842,1
P00024942,0
P00025042,1
P00025142,0
P00025242,0
P00025342,0
P00025442,5
P00025542,15
P00025642,0
P00025942,18
P00026042,21
P00026142,2
P00026242,1
P00026342,5
P00026442,3
P00026542,3
P00026642,17
P00026742,6
P00026942,1
P00027042,2
P00027142,4
P00027242,0
P00027342,2
P00027442,10
P00027542,6
P00027642,6
P00027942,0
P00028042,8
P00028142,3
P00028242,0
P00028342,1
P00028442,11
P00028542,1
P00028642,0
P00028742,0
P00028842,3
P00029042,0
P00029142,7
P00029242,33
P00029342,3
P00029442,4
P00029542,8
P00029642,1
P00029742,1
P00029842,8
P00029942,6
P00030042,7
P00030142,2
P00030442,0
P00030542,1
P00030642,6
P00030742,3
P00030842,16
P00030942,0
P00031042,59
P00031142,1
P00031242,0
P00031342,2
P00031442,8
P00031542,2
P00031642,1
P00031742,4
P00031842,6
P00031942,1
P00032042,10
P00032142,1
P00032342,0
P00032442,16
P00032542,7
P00032642,0
P00032742,2
P00032842,27
P00032942,1
P00033042,15
P00033142,0
P00033242,0
P00033342,15
P00033442,0
P00033542,10
P00033642,18
P00033742,1
P00033842,1
P00033942,15
P00034042,5
P00034142,12
P00034242,5
P00034342,5
P00034442,9
P00034542,0
P00034642,0
P00034742,120
P00034842,45
P00034942,0
P00035042,1
P00035142,3
P00035242,9
P00035342,0
P00035442,0
P00035542,24
P00035642,0
P00035742,5
P00035842,27
P00035942,9
P00036042,1
P00036142,3
P00036242,7
P00036342,5
P00036442,1
P00036542,0
P00036642,0
P00036742,9
P00036842,17
P00036942,3
P00037042,6
P00037142,10
P00037242,5
P00037342,4
P00037442,0
P00037542,1
P00037642,0
P00037742,1
P00037842,3
P00037942,3
P00038142,0
P00038242,0
P00038342,0
P00038442,1
P00038542,0
P00039242,4
P00039442,0
P00039542,2
P00039642,0
P00039742,5
P00039942,5
P00040042,3
P00040142,0
P00040242,0
P00040342,0
P00040442,6
P00040542,1
P00040642,0
P00040742,8
P00040842,0
P00040942,1
P00041042,8
P00041142,0
P00041242,4
P00041342,2
P00041442,0
P00041542,8
P00041642,1
P00041742,0
P00041842,0
P00041942,6
P00042042,0
P00042142,3
