Product_ID,Count
P00003242,52
P00021742,71
P00031042,59
P00034742,120
P00034842,45
P00051442,46
P00058042,71
P00100842,52
P00100942,45
P00102342,45
P00106042,110
P00110542,54
P00113642,53
P00114042,65
P00114442,59
P00115642,52
P00117442,123
P00117942,122
P00118542,49
P00118742,73
P00119742,54
P00120342,52
P00121642,74
P00129542,58
P00129642,67
P00138542,49
P00145442,49
P00150542,62
P00153842,45
P00156442,49
P00161942,64
P00174442,68
P00178242,50
P00178942,65
P00199442,51
P00210042,49
P00212942,50
P00213242,71
P00220442,136
P00240142,68
P00248142,52
P00250242,57
P00251242,90
P00258742,75
P00259342,61
P00260042,80
P00265242,177
P00268442,45
P00271142,76
P00278642,127
P00283942,46
P00303242,51
P00313342,45
P00317842,54
P00319042,63
P00324942,52
P00331942,56
P00343042,50
P00365242,48
